ds,y
2016-10-10,11029
2016-10-11,11370
2016-10-12,10692
2016-10-13,12252
2016-10-14,11535
2016-10-15,11292
2016-10-16,11303
2016-10-17,10967
2016-10-18,9656
2016-10-19,10343
2016-10-20,12053
2016-10-21,14606
2016-10-22,12761
2016-10-23,13557
2016-10-24,13164
2016-10-25,12721
2016-10-26,12152
2016-10-27,13054
2016-10-28,13306
2016-10-29,12230
2016-10-30,12093
2016-10-31,13319
2016-11-01,12020
2016-11-02,11616
2016-11-03,12765
2016-11-04,14401
2016-11-05,13206
2016-11-06,12942
2016-11-07,13433
2016-11-08,13516
2016-11-09,14571
2016-11-10,14323
2016-11-11,13328
2016-11-12,11531
2016-11-13,11734
2016-11-14,11820
2016-11-15,10800
2016-11-16,12078
2016-11-17,11545
2016-11-18,11527
2016-11-19,11756
2016-11-20,11737
2016-11-21,13563
2016-11-22,13411
2016-11-23,13809
2016-11-24,14778
2016-11-25,14858
2016-11-26,12522
2016-11-27,12479
2016-11-28,12801
2016-11-29,12524
2016-11-30,13147
2016-12-01,12968
2016-12-02,12592
2016-12-03,12300
2016-12-04,11565
2016-12-05,13897
2016-12-06,13492
2016-12-07,12952
2016-12-08,11354
2016-12-09,14566
2016-12-10,12433
2016-12-11,10875
2016-12-12,10763
2016-12-13,11114
2016-12-14,11465
2016-12-15,10861
2016-12-16,12199
2016-12-17,10750
2016-12-18,9248
2016-12-19,10372
2016-12-20,11469
2016-12-21,13203
2016-12-22,13169
2016-12-23,13261
2016-12-24,13399
2016-12-25,11911
2016-12-26,11904
2016-12-27,13673
2016-12-28,12844
2016-12-29,11644
2016-12-30,12822
2016-12-31,13982
2017-01-01,12497
2017-01-02,11241
2017-01-03,12260
2017-01-04,13153
2017-01-05,13940
2017-01-06,13995
2017-01-07,12966
2017-01-08,10927
2017-01-09,12297
2017-01-10,11520
2017-01-11,9522
2017-01-12,2217
2017-01-13,11798
2017-01-14,15141
2017-01-15,11601
2017-01-16,12480
2017-01-17,12233
2017-01-18,11647
2017-01-19,11130
2017-01-20,12976
2017-01-21,13035
2017-01-22,11773
2017-01-23,13282
2017-01-24,14187
2017-01-25,14004
